Country Name |      Freq.     Percent        Cum.
              Korea, Dem. People’s Rep. |          1        0.38       46.97
                            Korea, Rep. |          1        0.38       47.35
                                 Kosovo |          1        0.38       47.73
                                 Kuwait |          1        0.38       48.11
                        Kyrgyz Republic |          1        0.38       48.48
                                Lao PDR |          1        0.38       48.86
              Late-demographic dividend |          1        0.38       49.24
              Latin America & Caribbean |          1        0.38       49.62
Latin America & Caribbean (excluding .. |          1        0.38       50.00
Latin America & the Caribbean (IDA & .. |          1        0.38       50.38
                                 Latvia |          1        0.38       50.76
Least developed countries: UN classif.. |          1        0.38       51.14
                                Lebanon |          1        0.38       51.52
                                Lesotho |          1        0.38       51.89
                                Liberia |          1        0.38       52.27
                                  Libya |          1        0.38       52.65
                          Liechtenstein |          1        0.38       53.03
                              Lithuania |          1        0.38       53.41
                    Low & middle income |          1        0.38       53.79
                             Low income |          1        0.38       54.17
                    Lower middle income |          1        0.38       54.55
                             Luxembourg |          1        0.38       54.92
                       Macao SAR, China |          1        0.38       55.30
                             Madagascar |          1        0.38       55.68
                                 Malawi |          1        0.38       56.06
                               Malaysia |          1        0.38       56.44
                               Maldives |          1        0.38       56.82
                                   Mali |          1        0.38       57.20
                                  Malta |          1        0.38       57.58
                       Marshall Islands |          1        0.38       57.95
                             Mauritania |          1        0.38       58.33
                              Mauritius |          1        0.38       58.71
                                 Mexico |          1        0.38       59.09
                  Micronesia, Fed. Sts. |          1        0.38       59.47
             Middle East & North Africa |          1        0.38       59.85
Middle East & North Africa (IDA & IBR.. |          1        0.38       60.23
Middle East & North Africa (excluding.. |          1        0.38       60.61
                          Middle income |          1        0.38       60.98
                                Moldova |          1        0.38       61.36
                                 Monaco |          1        0.38       61.74
                               Mongolia |          1        0.38       62.12
                             Montenegro |          1        0.38       62.50
                                Morocco |          1        0.38       62.88
                             Mozambique |          1        0.38       63.26
                                Myanmar |          1        0.38       63.64
                                Namibia |          1        0.38       64.02
                                  Nauru |          1        0.38       64.39
                                  Nepal |          1        0.38       64.77
                            Netherlands |          1        0.38       65.15
                          New Caledonia |          1        0.38       65.53
                            New Zealand |          1        0.38       65.91
                              Nicaragua |          1        0.38       66.29
                                  Niger |          1        0.38       66.67
                                Nigeria |          1        0.38       67.05
                          North America |          1        0.38       67.42
                        North Macedonia |          1        0.38       67.80
               Northern Mariana Islands |          1        0.38       68.18
                                 Norway |          1        0.38       68.56
                         Not classified |          1        0.38       68.94
                           OECD members |          1        0.38       69.32
                                   Oman |          1        0.38       69.70
                     Other small states |          1        0.38       70.08
            Pacific island small states |          1        0.38       70.45
                               Pakistan |          1        0.38       70.83
                                  Palau |          1        0.38       71.21
                                 Panama |          1        0.38       71.59
                       Papua New Guinea |          1        0.38       71.97
                               Paraguay |          1        0.38       72.35
                                   Peru |          1        0.38       72.73
                            Philippines |          1        0.38       73.11
                                 Poland |          1        0.38       73.48
                               Portugal |          1        0.38       73.86
              Post-demographic dividend |          1        0.38       74.24
               Pre-demographic dividend |          1        0.38       74.62
                            Puerto Rico |          1        0.38       75.00
                                  Qatar |          1        0.38       75.38
                                Romania |          1        0.38       75.76
                     Russian Federation |          1        0.38       76.14
                                 Rwanda |          1        0.38       76.52
                                  Samoa |          1        0.38       76.89
                             San Marino |          1        0.38       77.27
                  Sao Tome and Principe |          1        0.38       77.65
                           Saudi Arabia |          1        0.38       78.03
                                Senegal |          1        0.38       78.41
                                 Serbia |          1        0.38       78.79
                             Seychelles |          1        0.38       79.17
                           Sierra Leone |          1        0.38       79.55
                              Singapore |          1        0.38       79.92
              Sint Maarten (Dutch part) |          1        0.38       80.30
                        Slovak Republic |          1        0.38       80.68
                               Slovenia |          1        0.38       81.06
                           Small states |          1        0.38       81.44
                        Solomon Islands |          1        0.38       81.82
                                Somalia |          1        0.38       82.20
                           South Africa |          1        0.38       82.58
                             South Asia |          1        0.38       82.95
                South Asia (IDA & IBRD) |          1        0.38       83.33
                            South Sudan |          1        0.38       83.71
                                  Spain |          1        0.38       84.09
                              Sri Lanka |          1        0.38       84.47
                    St. Kitts and Nevis |          1        0.38       84.85
                              St. Lucia |          1        0.38       85.23
               St. Martin (French part) |          1        0.38       85.61
         St. Vincent and the Grenadines |          1        0.38       85.98
                     Sub-Saharan Africa |          1        0.38       86.36
Sub-Saharan Africa (IDA & IBRD countr.. |          1        0.38       86.74
Sub-Saharan Africa (excluding high in.. |          1        0.38       87.12
                                  Sudan |          1        0.38       87.50
                               Suriname |          1        0.38       87.88
                                 Sweden |          1        0.38       88.26
                            Switzerland |          1        0.38       88.64
                   Syrian Arab Republic |          1        0.38       89.02
                             Tajikistan |          1        0.38       89.39
                               Tanzania |          1        0.38       89.77
                               Thailand |          1        0.38       90.15
                            Timor-Leste |          1        0.38       90.53
                                   Togo |          1        0.38       90.91
                                  Tonga |          1        0.38       91.29
                    Trinidad and Tobago |          1        0.38       91.67
                                Tunisia |          1        0.38       92.05
                                 Turkey |          1        0.38       92.42
                           Turkmenistan |          1        0.38       92.80
               Turks and Caicos Islands |          1        0.38       93.18
                                 Tuvalu |          1        0.38       93.56
                                 Uganda |          1        0.38       93.94
                                Ukraine |          1        0.38       94.32
                   United Arab Emirates |          1        0.38       94.70
                         United Kingdom |          1        0.38       95.08
                          United States |          1        0.38       95.45
                    Upper middle income |          1        0.38       95.83
                                Uruguay |          1        0.38       96.21
                             Uzbekistan |          1        0.38       96.59
                                Vanuatu |          1        0.38       96.97
                          Venezuela, RB |          1        0.38       97.35
                                Vietnam |          1        0.38       97.73
                  Virgin Islands (U.S.) |          1        0.38       98.11
                     West Bank and Gaza |          1        0.38       98.48
                                  World |          1        0.38       98.86
                            Yemen, Rep. |          1        0.38       99.24
                                 Zambia |          1        0.38       99.62
                               Zimbabwe |          1        0.38      100.00
